timestamp,frame,track_id,class,confidence,x1,y1,x2,y2
2026-04-03T14:53:44.442,2,1,cat,0.648,158,122,586,478
2026-04-03T14:53:44.442,2,3,cat,0.000,151,101,599,479
2026-04-03T14:53:44.795,1,1,person,0.509,156,120,586,479
2026-04-03T14:53:44.795,1,3,cat,0.000,150,97,602,479
2026-04-03T14:53:45.161,2,1,cat,0.833,157,117,588,478
2026-04-03T14:53:45.161,2,3,cat,0.000,149,93,605,479
2026-04-03T14:53:45.515,1,1,cat,0.867,156,117,587,478
2026-04-03T14:53:45.515,1,3,cat,0.000,148,90,608,479
2026-04-03T14:53:45.856,2,1,person,0.460,154,117,586,479
2026-04-03T14:53:45.856,2,3,cat,0.000,147,86,612,479
2026-04-03T14:53:46.220,1,1,cat,0.739,155,119,585,479
2026-04-03T14:53:46.220,1,3,cat,0.000,146,83,615,479
2026-04-03T14:53:46.569,2,1,cat,0.531,163,130,580,479
2026-04-03T14:53:46.569,2,3,cat,0.000,145,79,618,479
2026-04-03T14:53:46.912,1,1,person,0.746,174,150,570,479
2026-04-03T14:53:46.912,1,3,cat,0.000,144,76,621,479
2026-04-03T14:53:47.265,2,1,person,0.688,182,163,563,479
2026-04-03T14:53:47.265,2,3,cat,0.000,142,72,624,479
2026-04-03T14:53:47.609,1,1,person,0.466,187,171,560,479
2026-04-03T14:53:47.609,1,3,cat,0.000,141,69,627,479
2026-04-03T14:53:47.953,2,1,person,0.709,187,173,557,478
2026-04-03T14:53:47.955,2,3,cat,0.000,140,65,630,479
2026-04-03T14:53:48.345,1,1,person,0.808,187,175,556,478
2026-04-03T14:53:48.345,1,3,cat,0.000,139,62,633,479
2026-04-03T14:53:48.697,2,1,person,0.638,187,175,556,477
2026-04-03T14:53:48.697,2,3,cat,0.000,138,58,636,479
2026-04-03T14:53:49.053,1,1,person,0.669,183,168,562,477
2026-04-03T14:53:49.053,1,3,cat,0.000,137,54,640,479
2026-04-03T14:53:49.412,2,1,person,0.652,181,164,566,477
2026-04-03T14:53:49.412,2,3,cat,0.000,136,51,643,479
2026-04-03T14:53:49.802,1,1,cat,0.580,185,163,572,478
2026-04-03T14:53:49.802,1,3,person,0.486,191,159,572,479
2026-04-03T14:53:50.068,2,1,cat,0.000,187,164,572,478
2026-04-03T14:53:50.069,2,3,person,0.000,192,161,572,478
2026-04-03T14:53:50.338,1,1,cat,0.000,189,165,572,478
2026-04-03T14:53:50.338,1,3,person,0.000,194,162,572,478
2026-04-03T14:53:50.628,2,1,cat,0.000,190,167,572,478
2026-04-03T14:53:50.628,2,3,person,0.000,195,163,571,478
2026-04-03T14:53:50.941,1,1,cat,0.000,192,168,572,478
2026-04-03T14:53:50.941,1,3,person,0.000,197,165,571,478
2026-04-03T14:53:51.359,2,1,person,0.520,224,164,607,478
2026-04-03T14:53:51.359,2,3,person,0.000,198,166,571,478
2026-04-03T14:53:51.711,1,1,person,0.000,228,165,610,479
2026-04-03T14:53:51.711,1,3,person,0.000,200,167,571,478
2026-04-03T14:53:52.246,2,1,person,0.000,233,166,614,479
2026-04-03T14:53:52.246,2,3,person,0.684,149,63,628,479
2026-04-03T14:53:52.666,1,1,person,0.000,237,166,617,479
2026-04-03T14:53:52.666,1,3,cat,0.570,154,22,653,478
2026-04-03T14:53:53.154,2,1,cat,0.628,220,149,624,479
2026-04-03T14:53:53.154,2,3,cat,0.000,150,10,661,478
2026-04-03T14:53:53.619,1,1,cat,0.678,182,137,608,479
2026-04-03T14:53:53.619,1,3,cat,0.000,146,-1,670,478
2026-04-03T14:53:54.042,2,1,cat,0.510,100,137,539,479
2026-04-03T14:53:54.044,2,3,cat,0.000,141,-12,678,478
2026-04-03T14:53:54.460,1,1,cat,0.666,93,137,533,479
2026-04-03T14:53:54.460,1,3,cat,0.000,137,-24,687,478
2026-04-03T14:53:54.883,2,1,cat,0.772,94,138,533,479
2026-04-03T14:53:54.883,2,3,cat,0.000,133,-35,695,478
2026-04-03T14:53:55.294,1,1,cat,0.820,95,138,534,479
2026-04-03T14:53:55.294,1,3,cat,0.000,129,-47,703,478
2026-04-03T14:53:55.691,2,1,cat,0.644,100,139,541,479
2026-04-03T14:53:55.691,2,3,cat,0.000,125,-58,712,478
2026-04-03T14:53:56.195,1,1,cat,0.613,95,136,540,479
2026-04-03T14:53:56.195,1,3,cat,0.000,120,-70,720,478
2026-04-03T14:53:56.652,1,1,cat,0.724,94,136,536,479
2026-04-03T14:53:56.652,1,3,cat,0.000,116,-81,729,478
2026-04-03T14:53:57.065,2,1,cat,0.782,92,136,533,479
2026-04-03T14:53:57.065,2,3,cat,0.000,112,-93,737,478
2026-04-03T14:53:57.551,1,1,cat,0.697,52,137,500,479
2026-04-03T14:53:57.551,1,3,cat,0.000,108,-104,745,478
2026-04-03T14:53:57.994,2,1,cat,0.755,73,136,520,479
2026-04-03T14:53:57.994,2,3,cat,0.000,104,-116,754,478
2026-04-03T14:53:58.397,1,1,cat,0.590,80,139,520,479
2026-04-03T14:53:58.397,1,3,cat,0.000,99,-127,762,478
2026-04-03T14:53:58.786,2,1,cat,0.000,76,139,517,479
2026-04-03T14:53:58.786,2,3,cat,0.000,95,-139,770,478
2026-04-03T14:53:59.265,1,1,cat,0.674,75,139,511,479
2026-04-03T14:53:59.265,1,3,cat,0.000,91,-150,779,478
2026-04-03T14:53:59.761,2,1,cat,0.662,75,139,506,479
2026-04-03T14:53:59.761,2,3,cat,0.000,87,-162,787,478
2026-04-03T14:54:00.269,1,1,cat,0.605,89,139,520,479
2026-04-03T14:54:00.269,1,3,cat,0.000,83,-173,796,478
2026-04-03T14:54:00.741,1,1,cat,0.577,100,134,536,479
2026-04-03T14:54:00.741,1,3,cat,0.000,79,-185,804,478
2026-04-03T14:54:01.251,2,1,person,0.533,110,131,548,478
2026-04-03T14:54:01.251,2,3,cat,0.000,74,-197,812,478
2026-04-03T14:54:01.568,1,1,person,0.000,111,130,550,478
2026-04-03T14:54:01.568,1,3,cat,0.000,70,-208,821,478
2026-04-03T14:54:02.021,2,1,cat,0.673,117,125,562,478
2026-04-03T14:54:02.021,2,3,cat,0.000,66,-220,829,478
2026-04-03T14:54:02.437,1,1,cat,0.776,118,111,579,478
